ptid,methods,Analyte,Type,Well,Description,FI,FI - Bkgd,Std Dev,%CV,Conc in Range,Obs Conc,Obs Conc Std Dev,Obs Conc %CV,Exp Conc,(Obs/Exp) * 100,Dilution,Bead Count,batch.x,Sample ID,Conditions,Dilution factor,Note,protein concentration (mcg/ml),batch.y,Sample,normCon
3996,epithelial brushings,GM-CSF (20),X5,"A4,B4",Sample ID: 3996 Pellet,111.3,-135.8,8.84,7.95,OOR <,NA,NA,NA,NA,NA,1,"12,17",expt1,3996 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,2915.225,expt1,NA,NA
3996,tissue,GM-CSF (20),X19,"E7,F7",Sample ID: 3996 tissue,139,-108,9.9,7.12,OOR <,NA,0,135.7,NA,NA,1,"69,62",expt1,3996 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,3099.7614,expt1,NA,NA
3999,epithelial brushings,GM-CSF (20),X4,"G3,H3",Sample ID: 3999 Pellet,274.5,206.5,0.71,0.26,OOR <,0.08,0,0.41,NA,NA,2,"103,126",expt2,3999 Pellet,AERD+steroids,2,cytology brushings in RIPA Buffer,3723.5246,expt2,X4,2.15E-05
3999,tissue,GM-CSF (20),X14,"C6,D6",Sample ID: 3999 Tissue,66.3,-1.8,2.47,3.74,OOR <,NA,NA,NA,NA,NA,1,"96,87",expt2,3999 Tissue,AERD+steroids,Neat,tissue homogenate in PI solution,2651.4803,expt2,X14,NA
4001,epithelial brushings,GM-CSF (20),X5,"A4,B4",Sample ID: 4001 Pellet,837,769,45.25,5.41,0.18,0.18,0.01,6.59,NA,NA,1,"69,117",expt2,4001 Pellet,AERD+steroids,Neat,cytology brushings in RIPA Buffer,7202.9292,expt2,X5,2.50E-05
4001,mucus,GM-CSF (20),X23,"E8,F8",Sample ID: 4001 Sponge,174.3,106.3,93.69,53.77,OOR <,0.02,0.02,117.03,NA,NA,1,"57,98",expt2,4001 Sponge,AERD+steroids,Neat,nasal mucus eluted in PI solution,NA,expt2,X23,NA
4001,tissue,GM-CSF (20),X15,"E6,F6",Sample ID: 4001 Tissue,315.5,247.5,2.12,0.67,OOR <,0.05,0,1.01,NA,NA,1,"111,91",expt2,4001 Tissue,AERD+steroids,Neat,tissue homogenate in PI solution,6925.2483,expt2,X15,7.22E-06
4002,epithelial brushings,GM-CSF (20),X6,"C4,D4",Sample ID: 4002 Pellet,560,313,206.48,36.87,0.19,0.19,0.11,55.15,NA,NA,1,"44,50",expt1,4002 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,4935.974,expt1,NA,3.85E-05
4002,mucus,GM-CSF (20),X31,"E10,F10",Sample ID: 4002 mucus,106.5,-140.5,2.12,1.99,OOR <,NA,NA,NA,NA,NA,1,"55,72",expt1,4002 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4002,tissue,GM-CSF (20),X20,"G7,H7",Sample ID: 4002 tissue,142,-105,3.54,2.49,OOR <,NA,0,38.36,NA,NA,1,"108,84",expt1,4002 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,1313.6051,expt1,NA,NA
4006,epithelial brushings,GM-CSF (20),X7,"E4,F4",Sample ID: 4006 Pellet,158.5,-88.5,4.95,3.12,OOR <,0.02,0.01,20.97,NA,NA,3,"87,79",expt1,4006 Pellet,AERD+nosteroids,3,cytology brushings in RIPA Buffer,1767.8112,expt1,NA,1.13E-05
4006,mucus,GM-CSF (20),X32,"G10,H10",Sample ID: 4006 mucus,124,-123,2.83,2.28,OOR <,NA,NA,NA,NA,NA,1,"50,76",expt1,4006 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4006,tissue,GM-CSF (20),X21,"A8,B8",Sample ID: 4006 tissue,165,-82,12.73,7.71,OOR <,0.01,0,43.2,NA,NA,1,"67,73",expt1,4006 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,386.8478,expt1,NA,2.58E-05
4007,epithelial brushings,GM-CSF (20),X8,"G4,H4",Sample ID: 4007 Pellet,146.3,-100.8,10.25,7.01,OOR <,0.01,0.01,77.6,NA,NA,3,"186,173",expt1,4007 Pellet,AERD+nosteroids,3,cytology brushings in RIPA Buffer,2018.6628,expt1,NA,4.95E-06
4007,tissue,GM-CSF (20),X22,"C8,D8",Sample ID: 4007 tissue,210.3,-36.8,74.6,35.48,OOR <,0.03,0.03,103.28,NA,NA,1,"16,20",expt1,4007 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,2207.8446,expt1,NA,1.36E-05
4012,epithelial brushings,GM-CSF (20),X9,"A5,B5",Sample ID: 4012 Pellet,104.5,-142.5,2.12,2.03,OOR <,NA,NA,NA,NA,NA,2,"57,39",expt1,4012 Pellet,AERD+nosteroids,2,cytology brushings in RIPA Buffer,3556.2902,expt1,NA,NA
4012,mucus,GM-CSF (20),X33,"A11,B11",Sample ID: 4012 mucus,82.3,-164.8,5.3,6.45,OOR <,NA,NA,NA,NA,NA,1,"53,52",expt1,4012 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4012,tissue,GM-CSF (20),X23,"E8,F8",Sample ID: 4012 tissue,138.5,-108.5,4.95,3.57,OOR <,NA,0,78.92,NA,NA,1,"9,9",expt1,4012 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,3155.5062,expt1,NA,NA
4023,epithelial brushings,GM-CSF (20),X10,"C5,D5",Sample ID: 4023 Pellet,283,36,42.43,14.99,OOR <,0.06,0.02,32.06,NA,NA,1,"59,53",expt1,4023 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,6682.6444,expt1,NA,8.98E-06
4023,mucus,GM-CSF (20),X34,"C11,D11",Sample ID: 4023 mucus,160.8,-86.3,6.72,4.18,OOR <,0.01,0,26.24,NA,NA,1,"72,89",expt1,4023 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4023,tissue,GM-CSF (20),X24,"G8,H8",Sample ID: 4023 tissue,155,-92,2.83,1.82,OOR <,0.01,0,13.78,NA,NA,1,"64,79",expt1,4023 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,4142.6537,expt1,NA,2.41E-06
4027,epithelial brushings,GM-CSF (20),X11,"E5,F5",Sample ID: 4027 Pellet,125.3,-121.8,2.47,1.98,OOR <,NA,NA,NA,NA,NA,2,"63,76",expt1,4027 Pellet,AERD+nosteroids,2,cytology brushings in RIPA Buffer,2966.3244,expt1,NA,NA
4027,mucus,GM-CSF (20),X35,"E11,F11",Sample ID: 4027 mucus,114.5,-132.5,0.71,0.62,OOR <,NA,NA,NA,NA,NA,1,"60,68",expt1,4027 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4027,tissue,GM-CSF (20),X25,"A9,B9",Sample ID: 4027 tissue,141.8,-105.3,2.47,1.75,OOR <,NA,0,27.59,NA,NA,1,"50,50",expt1,4027 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,2344.8839,expt1,NA,NA
4031,epithelial brushings,GM-CSF (20),X6,"C4,D4",Sample ID: 4031 Pellet,185.3,117.3,105.71,57.06,OOR <,0.02,0.02,116.55,NA,NA,1,"55,62",expt2,4031 Pellet,AERD+steroids,Neat,cytology brushings in RIPA Buffer,4736.2218,expt2,X6,4.22E-06
4031,mucus,GM-CSF (20),X24,"G8,H8",Sample ID: 4031 Sponge,49.5,-18.5,14.85,30,OOR <,NA,NA,NA,NA,NA,1,"28,52",expt2,4031 Sponge,AERD+steroids,Neat,nasal mucus eluted in PI solution,NA,expt2,X24,NA
4031,tissue,GM-CSF (20),X16,"G6,H6",Sample ID: 4031 Tissue,78.3,10.3,0.35,0.45,OOR <,NA,NA,NA,NA,NA,1,"85,92",expt2,4031 Tissue,AERD+steroids,Neat,tissue homogenate in PI solution,1624.8469,expt2,X16,NA
4034,epithelial brushings,GM-CSF (20),X12,"G5,H5",Sample ID: 4034 Pellet,81.5,-165.5,13.44,16.48,OOR <,NA,NA,NA,NA,NA,1,"19,22",expt1,4034 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,4327.4266,expt1,NA,NA
4034,mucus,GM-CSF (20),X36,"G11,H11",Sample ID: 4034 mucus,233.8,-13.3,4.6,1.97,OOR <,0.07,0,5.16,NA,NA,2,"83,96",expt1,4034 mucus,AERD+nosteroids,2,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4034,tissue,GM-CSF (20),X26,"C9,D9",Sample ID: 4034 tissue,171.3,-75.8,22.27,13.01,OOR <,0.01,0.01,63.15,NA,NA,1,"50,53",expt1,4034 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,2442.4373,expt1,NA,4.09E-06
4037,epithelial brushings,GM-CSF (20),X7,"E4,F4",Sample ID: 4037 Pellet,87.3,19.3,8.84,10.13,OOR <,NA,0,0,NA,NA,1,"366,429",expt2,4037 Pellet,AERD+steroids,Neat,cytology brushings in RIPA Buffer,3765.3332,expt2,X7,NA
4037,mucus,GM-CSF (20),X25,"A9,B9",Sample ID: 4037 Sponge,42,-26,0,0,OOR <,NA,NA,NA,NA,NA,1,"122,67",expt2,4037 Sponge,AERD+steroids,Neat,nasal mucus eluted in PI solution,NA,expt2,X25,NA
4040,epithelial brushings,GM-CSF (20),X13,"A6,B6",Sample ID: 4040 Pellet,159.5,-87.5,9.19,5.76,OOR <,0.03,0.01,37.4,NA,NA,3,"193,151",expt1,4040 Pellet,AERD+nosteroids,3,cytology brushings in RIPA Buffer,2789.7992,expt1,NA,1.08E-05
4040,mucus,GM-CSF (20),X37,"A12,B12",Sample ID: 4040 mucus,158.3,-88.8,20.86,13.18,OOR <,0.01,0.01,86.44,NA,NA,1,"50,50",expt1,4040 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4040,tissue,GM-CSF (20),X27,"E9,F9",Sample ID: 4040 tissue,71.5,-175.5,12.02,16.81,OOR <,NA,NA,NA,NA,NA,1,"60,58",expt1,4040 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,4586.2894,expt1,NA,NA
4042,epithelial brushings,GM-CSF (20),X14,"C6,D6",Sample ID: 4042 Pellet,177.8,-69.3,22.27,12.53,OOR <,0.01,0.01,54.52,NA,NA,1,"251,130",expt1,4042 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,2385.6494,expt1,NA,4.19E-06
4042,mucus,GM-CSF (20),X38,"C12,D12",Sample ID: 4042 mucus,139.3,-107.8,2.47,1.78,OOR <,NA,0,36.41,NA,NA,1,"50,50",expt1,4042 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4042,tissue,GM-CSF (20),X28,"G9,H9",Sample ID: 4042 tissue,141,-106,0.71,0.5,OOR <,NA,0,8.53,NA,NA,1,"54,62",expt1,4042 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,1557.4886,expt1,NA,NA
4048,epithelial brushings,GM-CSF (20),X15,"E6,F6",Sample ID: 4048 Pellet,100.5,-146.5,4.95,4.93,OOR <,NA,NA,NA,NA,NA,1,"127,138",expt1,4048 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,3008.133,expt1,NA,NA
4048,mucus,GM-CSF (20),X39,"E12,F12",Sample ID: 4048 mucus,119.8,-127.3,3.89,3.25,OOR <,NA,NA,NA,NA,NA,1,"69,108",expt1,4048 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4048,tissue,GM-CSF (20),X29,"A10,B10",Sample ID: 4048 tissue,211,-36,7.07,3.35,OOR <,0.03,0,10.2,NA,NA,1,"87,75",expt1,4048 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,2605.0263,expt1,NA,1.15E-05
4049,epithelial brushings,GM-CSF (20),X16,"G6,H6",Sample ID: 4049 Pellet,145,-102,14.14,9.75,OOR <,NA,0,112.77,NA,NA,1,"97,87",expt1,4049 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,3514.4816,expt1,NA,NA
4049,mucus,GM-CSF (20),X40,"G12,H12",Sample ID: 4049 mucus,104.5,-142.5,0.71,0.68,OOR <,NA,NA,NA,NA,NA,1,"54,105",expt1,4049 mucus,AERD+nosteroids,Neat,nasal mucus eluted in PI solution,NA,expt1,NA,NA
4049,tissue,GM-CSF (20),X30,"C10,D10",Sample ID: 4049 tissue,315.8,68.8,9.55,3.02,7.00E-02,0.07,0,5.96,NA,NA,1,"91,68",expt1,4049 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,2279.8483,expt1,NA,3.07E-05
4051,epithelial brushings,GM-CSF (20),X8,"G4,H4",Sample ID: 4051 Pellet,102.5,34.5,2.12,2.07,OOR <,NA,0,21.14,NA,NA,1,"87,110",expt2,4051 Pellet,AERD+steroids,Neat,cytology brushings in RIPA Buffer,5154.3078,expt2,X8,NA
4051,mucus,GM-CSF (20),X26,"C9,D9",Sample ID: 4051 Sponge,52.8,-15.3,9.55,18.1,OOR <,NA,NA,NA,NA,NA,2,"50,50",expt2,4051 Sponge,AERD+steroids,2,nasal mucus eluted in PI solution,NA,expt2,X26,NA
4051,tissue,GM-CSF (20),X17,"A7,B7",Sample ID: 4051 Tissue,52.5,-15.5,0.71,1.35,OOR <,NA,NA,NA,NA,NA,1,"133,105",expt2,4051 Tissue,AERD+steroids,Neat,tissue homogenate in PI solution,5529.3056,expt2,X17,NA
4078,epithelial brushings,GM-CSF (20),X9,"A5,B5",Sample ID: 4078 pellet,90.3,22.3,0.35,0.39,OOR <,NA,NA,NA,NA,NA,2,"182,132",expt2,4078 pellet,AERD+steroids,2,cytology brushings in RIPA Buffer,6298.968,expt2,X9,NA
4078,mucus,GM-CSF (20),X27,"E9,F9",Sample ID: 4078 Sponge,58.5,-9.5,0.71,1.21,OOR <,NA,NA,NA,NA,NA,1,"69,84",expt2,4078 Sponge,AERD+steroids,Neat,nasal mucus eluted in PI solution,NA,expt2,X27,NA
4078,tissue,GM-CSF (20),X18,"C7,D7",Sample ID: 4078 Tissue,116,48,1.41,1.22,OOR <,NA,0,6.22,NA,NA,1,"153,177",expt2,4078 Tissue,AERD+steroids,Neat,tissue homogenate in PI solution,3054.789,expt2,X18,NA
0,Background,IFN-g (25),B,"A1,B1",Reagent Name: Background0,17.3,17.3,1.06,6.15,NA,NA,NA,NA,NA,NA,1,"116,100",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
0,Background,IFN-g (25),B,"A1,B1",Reagent Name: Background0,13,13,1.41,10.88,NA,NA,NA,NA,NA,NA,1,"113,100",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
1,QC,IFN-g (25),X1,"A3,B3",Sample ID: QC1,948.5,935.5,33.23,3.5,155.58,155.58,5.3,3.41,NA,NA,1,"126,129",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
1,QC,IFN-g (25),X1,"A3,B3",Sample ID: QC1,376.3,359,1.77,0.47,153.34,153.34,0.77,0.5,NA,NA,1,"114,112",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
1,Standard,IFN-g (25),S1,"C1,D1",Reagent Name: Standard1,37,19.8,4.24,11.47,9.85,9.85,1.7,17.21,9.77,101,1,"94,89",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
1,Standard,IFN-g (25),S1,"C1,D1",Reagent Name: Standard1,75.5,62.5,2.12,2.81,9.71,9.71,0.42,4.32,9.77,99,1,"109,104",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
2,QC,IFN-g (25),X2,"C3,D3",Sample ID: QC2,8676.5,8663.5,96.87,1.12,1519.14,1519.14,19.93,1.31,NA,NA,1,"104,100",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
2,QC,IFN-g (25),X2,"C3,D3",Sample ID: QC2,3724.8,3707.5,196.93,5.29,1736.11,1736.11,99.46,5.73,NA,NA,1,"102,100",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
2,Standard,IFN-g (25),S2,"E1,F1",Reagent Name: Standard2,106,88.8,0,0,38.08,38.08,0,0,39.06,97,1,"149,93",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
2,Standard,IFN-g (25),S2,"E1,F1",Reagent Name: Standard2,240.3,227.3,10.25,4.27,39.66,39.66,1.78,4.48,39.06,102,1,"107,98",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
3,Standard,IFN-g (25),S3,"G1,H1",Reagent Name: Standard3,397.5,380.3,3.54,0.89,162.58,162.58,1.54,0.95,156.25,104,1,"96,108",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
3,Standard,IFN-g (25),S3,"G1,H1",Reagent Name: Standard3,941,928,8.49,0.9,154.39,154.39,1.35,0.88,156.25,99,1,"121,93",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
4,Standard,IFN-g (25),S4,"A2,B2",Reagent Name: Standard4,1390,1372.8,25.46,1.83,608.39,608.39,11.73,1.93,625,97,1,"125,105",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
4,Standard,IFN-g (25),S4,"A2,B2",Reagent Name: Standard4,3838.5,3825.5,77.07,2.01,622.48,622.48,12.94,2.08,625,100,1,"127,171",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
5,Standard,IFN-g (25),S5,"C2,D2",Reagent Name: Standard5,5249.5,5232.3,374.06,7.13,2529.12,2529.12,200.35,7.92,2500,101,1,"81,106",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
5,Standard,IFN-g (25),S5,"C2,D2",Reagent Name: Standard5,13144.5,13131.5,266.58,2.03,2545.44,2545.44,68.38,2.69,2500,102,1,"121,125",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
6,Standard,IFN-g (25),S6,"E2,F2",Reagent Name: Standard6,16048.3,16031,459.97,2.87,9965.48,9965.48,412.61,4.14,10000,100,1,"116,94",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
6,Standard,IFN-g (25),S6,"E2,F2",Reagent Name: Standard6,29572.5,29559.5,226.98,0.77,9764.52,9764.52,168.22,1.72,10000,98,1,"117,100",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
7,Standard,IFN-g (25),S7,"G2,H2",Reagent Name: Standard7,32307.8,32290.5,153.8,0.48,40049.22,40049.22,615.22,1.54,40000,100,1,"85,88",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
7,Standard,IFN-g (25),S7,"G2,H2",Reagent Name: Standard7,45495,45482,275.77,0.61,40833.9,40833.9,1367.57,3.35,40000,102,1,"115,75",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
3991,epithelial brushings,IFN-g (25),X3,"E3,F3",Sample ID: 3991 Pellet,40.5,27.5,3.54,8.73,OOR <,2.4,0.81,33.77,NA,NA,1,"32,24",expt2,3991 Pellet,AERD+steroids,Neat,cytology brushings in RIPA Buffer,1465.8602,expt2,X3,0.001637264
3994,epithelial brushings,IFN-g (25),X3,"E3,F3",Sample ID: 3994 Pellet,36,18.8,4.24,11.79,OOR <,9.45,1.69,17.92,NA,NA,1,"94,129",expt1,3994 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,3105.6864,expt1,NA,0.003042806
3994,tissue,IFN-g (25),X17,"A7,B7",Sample ID: 3994 tissue,18.5,1.3,0.71,3.82,OOR <,2.56,0.27,10.6,NA,NA,1,"83,202",expt1,3994 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,2191.5857,expt1,NA,0.001168104
3995,epithelial brushings,IFN-g (25),X4,"G3,H3",Sample ID: 3995 Pellet,40.5,23.3,2.12,5.24,22.49,22.49,1.7,7.56,NA,NA,2,"125,126",expt1,3995 Pellet,AERD+nosteroids,2,cytology brushings in RIPA Buffer,1948.9818,expt1,NA,0.011539359
3995,tissue,IFN-g (25),X18,"C7,D7",Sample ID: 3995 tissue,22,4.8,1.41,6.43,OOR <,3.92,0.55,14.04,NA,NA,1,"115,89",expt1,3995 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,1641.1058,expt1,NA,0.002388633
3996,epithelial brushings,IFN-g (25),X5,"A4,B4",Sample ID: 3996 Pellet,51,33.8,1.41,2.77,15.48,15.48,0.57,3.7,NA,NA,1,"7,35",expt1,3996 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,2915.225,expt1,NA,0.005310053
3996,tissue,IFN-g (25),X19,"E7,F7",Sample ID: 3996 tissue,19.8,2.5,1.06,5.37,OOR <,3.05,0.41,13.45,NA,NA,1,"106,123",expt1,3996 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,3099.7614,expt1,NA,0.000983947
3999,epithelial brushings,IFN-g (25),X4,"G3,H3",Sample ID: 3999 Pellet,113,100,1.41,1.25,33.79,33.79,0.53,1.57,NA,NA,2,"303,270",expt2,3999 Pellet,AERD+steroids,2,cytology brushings in RIPA Buffer,3723.5246,expt2,X4,0.009074735
3999,tissue,IFN-g (25),X14,"C6,D6",Sample ID: 3999 Tissue,17,4,1.41,8.32,OOR <,NA,NA,NA,NA,NA,1,"177,117",expt2,3999 Tissue,AERD+steroids,Neat,tissue homogenate in PI solution,2651.4803,expt2,X14,NA
4001,epithelial brushings,IFN-g (25),X5,"A4,B4",Sample ID: 4001 Pellet,45.5,32.5,1.41,3.11,OOR <,3.52,0.31,8.82,NA,NA,1,"184,186",expt2,4001 Pellet,AERD+steroids,Neat,cytology brushings in RIPA Buffer,7202.9292,expt2,X5,0.00048869
